NAME,TREND
AALIJAH,-1
AALIM,-3
AALIMAH,1
AALINA,2
AALISH,1
AALISHA,2
AALIVIA,1
AALIYA,3
AALIYAA,1
AALIYAH,3
AALIYAH FAITH,1
AALIYAH FAYE,1
AALIYAH JEWEL,1
AALIYAH LOUISE,1
AALIYAH MAE,1
AALIYAH MARIE,1
AALIYAH MAY,1
AALIYAH NOOR,1
AALIYAH ROSE,1
AALIYAH SKYE,1
AALIYAHA,1
AALIYAHMARIE,1
AALIYAHROSE,1
AALIYAN,1
AALIYANA,1
AALIYHA,3
AALIYIAH,1
AALIZA,1
AALKE,1
AALLAYA,1
AALLISHIA,1
AALLIYAH,3
AALLYAH,1
AALOK,-2
AALOKE,-1
AALON,-1
AALSTEINN,-1
AALT,-2
AALTIEN,2
AALTINA,1
AALTINUS,-1
AALTJE,2
AALTSJE,1
AALYA,3
AALYAH,3
AALYCIA,1
AALYHA,1
AALYIA,1
AALYIAH,3
AALYN,1
AALYSA,1
AALYSIA,3
AALYSSA,2
AALYVIA,1
AAMAIRA,1
AAMAL,1
AAMAN,-2
AAMANA,1
AAMANAH,1
AAMANDA,2
AAMANEE,1
AAMANI,3
AAMAR,-4
AAMARI,-1
AAMARION,-1
AAMAYA,2
AAMBER,1
AAMEE,1
AAMEEN,-1
AAMENA,3
AAMENAH,1
AAMER,-3
AAMIA,1
AAMIL,-3
AAMILAH,2
AAMINA,3
AAMINAH,3
AAMINO,1
AAMIR,-4
AAMIRA,3
AAMIRAH,2
AAMISH,-1
AAMIYA,1
AAMIYAH,1
AAMNA,3
AAMNAH,1
AAMNAHA,1
AAMOD,-1
AAMOD AAMOD,-1
AAMOD DINKAR,-1
AAMON,-1
AAMONI,1
AAMORI,1
AAMR,-1
AAMVI,1
AAMYA,2
AAMYAH,1
AAN,2
AANA,2
AANAND,-2
AANAV,-1
AANAYA,1
AANAYAH,1
AANCHAL,3
AANCHALPREET,1
AANDERS,-1
AANDREA,1
AANELI,1
AANELLE,1
AANEM,1
AANEYA,1
AANGI,1
AANIA,3
AANIAH,1
AANIBAH,1
AANICK,1
AANIJAH,1
AANIKA,3
AANIS,-1
AANISAH,2
AANISH,-1
AANISHA,1
AANIYA,3
AANIYAH,3
AANSH,-1
AANSHI,1
AANT,1
AANTYN,-1
AANU,1
AANUM,1
AANUOLUWA,1
AANUOLUWATOMILEHIN,1
AANVI,3
AANYA,4
AANYAH,1
AAPANII,1
AAPELI,-1
AAPINAKOS,-1
AAPO,-1
AAPPO,-1
AAPRI,1
AAQIB,-3
AAQIL,-3
AARA,3
AARAB,-1
AARABELLA,1
AARABHI,1
AARABI,1
AARADH,-1
AARADHANA,1
AARADHYA,4
AARAE,1
AARAH,1
AARALEE,1
AARALYN,2
AARALYNN,2
AARAN,-3
AARANI,1
AARAON,-1
AARASH,-1
AARATRIKA,1
AARAU,-1
AARAV,-4
AARAVBIR,-1
AARAVJEET,-1
AARD,-1
AARE,-1
AAREN,-3
AARENT,-1
AAREON,-1
AAREONA,1
AAREZ,-2
AARFAH,1
AARIA,3
AARIAH,2
AARIAN,-2
AARIANA,3
AARIANNA,1
AARIB,-2
AARIC,-3
AARICA,1
AARICK,-1
AARIEANNA,1
AARIEL,1
AARIELLE,2
AARIF,-2
AARIF HUSEIN,-1
AARIFAH,1
AARIJ,-1
AARIK,-2
AARIKA,3
AARILYN,1
AARILYNN,1
AARIN,-3
AARINI,2
AARION,-2
AARIONA,1
AARIONNA,1
AARIONNE,1
AARIS,-3
AARISH,-3
AARISHA,1
AARIT,-2
AARIUS,-1
AARIV,-3
AARIYA,3
AARIYAH,1
AARIYAN,-2
AARIYANA,1
AARIYANNA,1
AARIYONA,1
AARIYONNA,1
AARIZ,-3
AARJAN,-1
AARJAV,-2
AARMAAN,-2
AARN,-1
AARNA,3
AARNAV,-3
AARNAVI,1
AARNE,-3
AARNI,0
AARNO,-1
AARNOUD,-1
AARNOUT,-1
AARO,-5
AAROHAN,-2
AAROHI,3
AAROLYN,1
AARON,-11
AARON ANDREW,-1
AARON CONRAD,-1
AARON DEAN,-1
AARON GABRIEL,-1
AARON HAGEN,-1
AARON JAMES,-1
AARON JAMIE,-1
AARON JAY,-1
AARON JOHN,-1
AARON JOSEPH,-1
AARON KENNETH,-1
AARON LEE,-2
AARON MATTHEW,-1
AARON MICHAEL,-1
AARON MINASSIE,-1
AARON ROBERT,-1
AARON SEE,-1
AARONA,2
AARONAE,1
AARONDA,1
AARONDEEP,-2
AARONETTE,1
AARONISHA,1
AARONJACOB,-1
AARONJAMES,-1
AARONJEET,-1
AARONJIT,-2
AARONJOHN,-1
AARONJOSEPH,-1
AARONJOSH,-1
AARONJOSHUA,-1
AARONLEE,-2
AARONMICHAEL,-1
AARONMIT,-1
AARONN,-2
AARONNA,1
AARONVEER,-1
AARONVIR,-1
AAROON,-2
AAROOSH,-2
AARRAN,-1
AARRE,-1
AARREN,-1
AARRIANNA,1
AARRON,-3
AARRON DAVID,-1
AARRY,-1
AARSH,-3
AARSHDEEP,1
AARSHI,1
AARSHIN,-1
AARSHIYA,1
AART,-2
AARTHI,2
AARTI,4
AARUN,-1
AARUSAN,-1
AARUSH,-3
AARUSHI,3
AARVI,3
AARVIN,-2
AARYA,-3
AARYAH,1
AARYAN,-4
AARYANA,3
AARYANNA,3
AARYANNAH,1
AARYASH,-1
AARYAV,-2
AARYN,-3
AARYON,-1
AARYONA,1
AARZO,2
AARZOO,1
AARZU,1
AASAH,1
AASAY,1
AASE,3
AASEAS,1
AASEN,-1
AASH,-1
AASHA,4
AASHAN,-1
AASHANA,1
AASHAR,-1
AASHAY,-2
AASHDON,-1
AASHER,-1
AASHI,3
AASHIA,1
AASHIANA,1
AASHIF,-1
AASHIISH,-1
AASHIKA,3
AASHILD,1
AASHIM,-1
AASHIMA,1
AASHINI,2
AASHIR,-3
AASHIRYA,1
AASHISH,-3
AASHIT RAMACHANDRA,-1
AASHITA,1
AASHIYANA,3
AASHKA,2
AASHMAN,-1
AASHMEEN,1
AASHNA,3
AASHNI,2
AASHRAY,-1
AASHRITA,1
AASHRITH,-1
AASHRITHA,2
AASHVI,3
AASIA,3
AASIF,-1
AASIM,-3
AASIMA,1
AASIN,-1
AASIR,-1
AASIYA,3
AASIYAH,3
AASLEEN,1
AASMA,1
AASON,-1
AASOOTAH,1
AASTHA,3
AASTON,-1
AAT,-1
AATAMI,-1
AATHAN,-1
AATHAVAN,-2
AATHI,-1
AATHISH,-1
AATHMAJ,-1
AATHREY,-1
AATIF,-3
AATIFA,2
AATIFAH,1
AATIKA,2
AATIKAH,2
AATIQA,2
AATIQAH,1
AATISH,-3
AATKA,1
AATOS,-1
AATREYA,-1
AATTO,-1
AATU,-1
AAURIAH,1
AAVA,3
AAVA MAY,1
AAVAH,2
AAVE,0
AAVEN,-2
AAVI,-1
AAVIN,-1
AAVION,-1
AAVIR,-1
AAVNI,1
AAVO,-2
AAVREEN,1
AAVRY,1
AAVYA,2
AAVYN,1
AAWAKAAPIKSSI,-1
AAYA,3
AAYAAN,-3
AAYAH,3
AAYAN,-3
AAYANA,3
AAYANAH,1
AAYANAN,-1
AAYANNA,1
AAYAT,1
AAYDAN,-3
AAYDEN,-3
AAYDN,-1
AAYED,-1
AAYESHA,1
AAYISHA,1
AAYKTA,1
AAYLA,3
AAYLAH,2
AAYLAH ROSE,1
AAYLIAH,2
AAYLIE,1
AAYME,1
AAYRA,1
AAYSHA,1
AAYUDH,-1
AAYUSH,-3
AAYUSHI,3
AAYZA,1
AAZAB,-1
AAZAM,-1
AAZAN,-3
AAZEEN,2
AAZIB,-1
AAZIM,-2
AAZIYAH,1
AAZLYNN,1
AAZMIR,-1
AB,-2
ABA,3
ABAAN,-3
ABAAS,-2
ABABYA,1
ABAD,-3
ABADAT,-1
ABAENY,1
ABAGAEL,3
ABAGAIL,3
ABAGAILE,2
ABAGALE,2
ABAGAYL,1
ABAGAYLE,2
ABAI,-1
ABAIGAEL,2
ABAIGAIL,2
ABAIGEAL,3
ABAIGH,1
ABAK,1
ABAKAR,-1
ABALEEN,1
ABALENE,1
ABAN,-3
ABANG,1
ABANOUB,-2
ABANY,1
ABAS,-4
ABASI,-1
ABASI IMA,1
ABASS,-3
ABAY,0
ABAYOMI,-3
ABAZ,-3
ABB,-1
ABBA,0
ABBAAS,-2
ABBAD,-1
ABBAGAEL,1
ABBAGAIL,2
ABBAGALE,2
ABBAGAYLE,2
ABBAIGH,1
ABBAS,-6
ABBAS HUSSEIN,-1
ABBASON,-1
ABBASS,-2
ABBE,2
ABBEE,3
ABBEGAEL,1
ABBEGAIL,3
ABBEGALE,2
ABBEGAYLE,2
ABBEIGH,1
ABBEIR,1
ABBELLA,1
ABBEY,1
ABBEY GAIL,1
ABBEY GAYLE,1
ABBEY LEIGH,1
ABBEY LOUISE,1
ABBEY LYNN,1
ABBEYGAEL,1
ABBEYGAIL,3
ABBEYGALE,3
ABBEYGAYLE,2
ABBI,3
ABBI GAIL,1
ABBI GAYLE,1
ABBI LEIGH,1
ABBI LOUISE,1
ABBI LYNN,1
ABBI MAE,1
ABBI ROSE,1
ABBIE,3
ABBIE ANNE,1
ABBIE GAIL,1
ABBIE GAYLE,1
ABBIE GRACE,1
ABBIE J,1
ABBIE JAI,1
ABBIE JAMES,1
ABBIE JANE,1
ABBIE JO,1
ABBIE LEA,1
ABBIE LEE,1
ABBIE LEI,1
ABBIE LEIGH,1
ABBIE LOUISE,1
ABBIE LYN,1
ABBIE MAE,1
ABBIE MAI,1
ABBIE MARIE,1
ABBIE MAY,1
ABBIE RAE,1
ABBIE RAYNE,1
ABBIE ROSE,1
ABBIE VIOLET,1
ABBIEGAIL,3
ABBIEGAILE,1
ABBIEGALE,3
ABBIEGAYLE,3
ABBIELEIGH,2
ABBIELLE,1
ABBIELOUISE,1
ABBIGAEL,3
ABBIGAIL,3
ABBIGAILE,2
ABBIGAILLE,1
ABBIGAL,1
ABBIGALE,3
ABBIGAYL,2
ABBIGAYLE,3
ABBIGHAIL,1
ABBIGRACE,1
ABBII,1
ABBILENE,1
ABBILYN,1
ABBILYNN,1
ABBINEY,1
ABBIOLA,1
ABBISALE,1
ABBO,-1
ABBONDANZA,1
ABBONDANZIO,-1
ABBONDIO,-1
ABBOT,-2
ABBOTT,-2
ABBOTTE,1
ABBRA,2
ABBRIANNA,1
ABBRIELLA,1
ABBRIELLE,1
ABBY,3
ABBY ANN,1
ABBY DAWN,1
ABBY GALE,1
ABBY GAYLE,1
ABBY JEAN,1
ABBY LEA,1
ABBY LEE,1
ABBY LEIGH,1
ABBY LYN,1
ABBY LYNN,1
ABBY LYNNE,1
ABBY MARIE,1
ABBY MAY,1
ABBY RAE,1
ABBYDEAN,1
ABBYE,2
ABBYGAEL,2
ABBYGAIL,3
ABBYGAIL ANN,1
ABBYGAIL CLAIRE,1
ABBYGAIL LILA,1
ABBYGAIL ROSE CASANDRA,1
ABBYGAILE,2
ABBYGALE,3
ABBYGAYL,1
ABBYGAYLE,3
ABBYGIRL,1
ABBYLYNN,2
ABBYRUTH,1
ABCDE,1
ABD,-4
ABD ALKUDOS,-1
ABD ALLAH,-1
ABD ALRAHIM,-1
ABD ELRAHMAN,-1
ABD SALLAM,-1
ABD ULMOEEN,-1
ABDAL,-3
ABDAL MAJID,-1
ABDAL RAHMAN,-1
ABDAL SALAM,-1
ABDALA,-2
ABDALAH,-1
ABDALE,-1
ABDALHAI,-1
ABDALKAREEM,-1
ABDALKHALQ,-1
ABDALLA,-4
ABDALLAH,-6
ABDALMALAK,-1
ABDALMALIK,-1
ABDALMOTALIB,-1
ABDALRAHMAN,-3
ABDALRHMAN,-2
ABDAR,-1
ABDARAHMAN,-1
ABDARRAHMAN,-1
ABDASSAMAD,-1
ABDEL,-5
ABDEL ALL,-1
ABDEL AZIZ,-1
ABDEL FATTAH,-1
ABDEL GHANI,-1
ABDEL HAFID,-1
ABDEL HAFIZ,-1
ABDEL HAK,-1
ABDEL HAKIM,-1
ABDEL HALIM,-2
ABDEL HAMID,-1
ABDEL KADER,-1
ABDEL KARIM,-1
ABDEL LATIF,-1
ABDEL MAJID,-1
ABDEL MALIK,-1
ABDEL RAHMAN,-3
ABDEL SALAM,-2
ABDEL TAWAB,-1
ABDEL WADOOD,-1
ABDELALLAH,-1
ABDELAZIZ,-3
ABDELHADI,-2
ABDELHAKIM,-1
ABDELHAMID,-1
ABDELILAH,-1
ABDELKADER,-3
ABDELKAREEM,-2
ABDELKARIM,-3
ABDELKRIM KHALED SAID ETUNSI,-1
ABDELL,-1
ABDELLAH,-3
ABDELMAGEED,-1
ABDELMAJEED,-1
ABDELMAJID,-1
ABDELMALEK,-2
ABDELMOEZ,-1
ABDELMOHY,-1
ABDELMOUIZ,-1
ABDELMOUMEN,-1
ABDELMUIZZ,-1
ABDELNASIR,-1
ABDELQADER,-1
ABDELQUDOUS,-1
ABDELRAHIM,-2
ABDELRAHMAN,-4
ABDELRAHMANE,-1
ABDELRAUOF,-1
ABDELRHMAN,-2
ABDELWAHED,-1
ABDER,-1
ABDER RAHIM,-1
ABDER RAHMAN,-1
ABDER RAHMANE,-1
ABDER RAZAK,-1
ABDERAHMAN,-1
ABDERAHMANE,-2
ABDERRAHIM,-1
ABDERRAHMAN,-2
ABDERRAHMANE,-2
ABDESLAM,-1
ABDESSAMED,-1
ABDESSATAR,-1
ABDI,-7
ABDI RAHEEM,-1
ABDI SHAKUR,-1
ABDI SHUKUUR,-1
ABDIAS,-2
ABDIASIS,-2
ABDIAZIZ,-3
ABDIEL,-2
ABDIFATAH,-3
ABDIGANI,-1
ABDIHAFID,-1
ABDIHAKIM,-3
ABDIHAKIN,-1
ABDIHAMID,-3
ABDIJA,-1
ABDIJABAR,-1
ABDIKADIR,-2
ABDIKAFI,-1
ABDIKARIM,-3
ABDIKARIN,-1
ABDIKHALIQ,-2
ABDILADIF,-1
ABDILAHI,-3
ABDILKAREEM,-1
ABDILLAHI,-1
ABDILSHAFI,-1
ABDIMAJID,-2
ABDIMAJIID,-1
ABDIMALIK,-3
ABDINAJIB,-1
ABDINASIR,-3
ABDINOOR,-1
ABDINUR,-1
ABDIQADAR,-1
ABDIQAFAR,-1
ABDIQANI,-3
ABDIRAHEEM,-1
ABDIRAHIIM,-1
ABDIRAHIM,-3
ABDIRAHMAAN,-2
ABDIRAHMAN,-3
ABDIRAHMAN AFI,-1
ABDIRASHID,-2
ABDIRAXMAN,-2
ABDIRAZAQ,-1
ABDIRIHMAN,-1
ABDIRISAQ,-2
ABDIRIZAK,-3
ABDISA,-1
ABDISALAM,-2
ABDISALAN,-2
ABDISAMAD,-3
ABDISATAR,-1
ABDISHAKUR,-2
ABDIWAHAB,-2
ABDIWAHID,-1
ABDIWALI,-3
ABDLKADR,-1
ABDLMGID,-1
ABDLMJED,-1
ABDO,-3
ABDO EL MUTTAULIB,-1
ABDOL,-1
ABDOL HALIM,-1
ABDOL KARIM,-1
ABDOL REZA,-1
ABDOL SALEH,-1
ABDOLRAHEM,-1
ABDOLSALAM,-1
ABDON,-3
ABDOOL,-1
ABDORAHMAN,-1
ABDORASSOUL,-1
ABDOSH,-1
ABDOSSALAMI,-1
ABDOU,-4
ABDOU SALAM,-1
ABDOUALLAH,-1
ABDOUL,-5
ABDOULAYE,-4
ABDOULAZIZ,-1
ABDOULIE,-2
ABDOULLAH,-1
ABDOULNOUR,-1
ABDOURAHMAN,-4
ABDOURAHMANE,-1
ABDOURRAHMAN,-1
ABDRAHMAN,-1
ABDREW,-1
ABDRUHMAN,-1
ABDU,-4
ABDU ARRAHMAN,-1
ABDU LATEEF,-1
ABDU RAHMAN,-1
ABDU RRAHMAN,-1
ABDUAL,-1
ABDUALALLAH,-1
ABDUALEEM,-1
ABDUALHKIM JIM,-1
ABDUALLAH,-3
ABDUEL,-1
ABDUH,-1
ABDUL,-11
ABDUL AHAD,-3
ABDUL ALEEM,-2
ABDUL ARRAHMAN,-1
ABDUL AZEEZ,-2
ABDUL AZIM,-1
ABDUL AZIZ,-3
ABDUL BAASIT,-1
ABDUL BAGI,-1
ABDUL BARR,-1
ABDUL BARRY,-1
ABDUL BASIT,-2
ABDUL FATTAH,-1
ABDUL GHANI,-2
ABDUL HAADI,-1
ABDUL HADI,-3
ABDUL HAFIZ,-2
ABDUL HAKEEM,-2
ABDUL HAKIM,-3
ABDUL HALIM,-1
ABDUL HAMID,-2
ABDUL HANNAN,-1
ABDUL HAQ,-1
ABDUL HASEEB,-1
ABDUL JABBAR,-1
ABDUL KADER,-1
ABDUL KADIR,-1
ABDUL KAREEM,-3
ABDUL KARIM,-3
ABDUL KHALIQ,-1
ABDUL LATEEF,-1
ABDUL LATIF,-2
ABDUL MAJEED,-2
ABDUL MAJID,-1
ABDUL MALIK,-1
ABDUL MANNAN,-1
ABDUL MATEEN,-1
ABDUL MOHYMAN,-1
ABDUL MOIZ,-1
ABDUL MUIZ,-1
ABDUL MUMIN,-1
ABDUL NASIR,-1
ABDUL QADEER,-1
ABDUL QADER,-1
ABDUL QADIR,-1
ABDUL QAYYUM,-1
ABDUL RAFAY,-1
ABDUL RAHEEM,-2
ABDUL RAHIM,-2
ABDUL RAHIME,-1
ABDUL RAHMAN,-4
ABDUL RAZZAK,-1
ABDUL RAZZAQ,-1
ABDUL REHMAN,-2
ABDUL REZA,-1
ABDUL SALAM,-1
ABDUL SAMAD,-1
ABDUL SAMI,-1
ABDUL SATTAR,-1
ABDUL SHAFI,-1
ABDUL WADUD,-1
ABDUL WAHAAB,-1
ABDUL WAHAB,-1
ABDUL WAHHAB,-1
ABDUL WASAY,-1
ABDULA,-3
ABDULAAHI,-2
ABDULAH,-5
ABDULAHAD,-3
ABDULAHI,-3
ABDULAI,-2
ABDULALEEM,-1
ABDULALLAH,-1
ABDULAMEER,-1
ABDULAYE,-1
ABDULAZEEM,-1
ABDULAZEEZ,-2
ABDULAZIS,-1
ABDULAZIZ,-3
ABDULBAKI,-2
ABDULBARI,-2
ABDULBASEER,-1
ABDULBASIT,-3
ABDULCABBAR,-1
ABDULE,-1
ABDULELAH,-2
ABDULELLAH,-1
ABDULFATAH,-2
ABDULFAWAZ,-1
ABDULGALIM,-1
ABDULGHANI,-1
ABDULHADI,-3
ABDULHAKEEM,-2
ABDULHAKIM,-4
ABDULHALIM,-3
ABDULHAMEED,-2
ABDULHAMID,-4
ABDULHAQ,-1
ABDULHASEEB,-1
ABDULHAY,-2
ABDULILAH,-2
ABDULJABBAR,-1
ABDULJALEEL,-1
ABDULJALIL,-1
ABDULKADER,-3
ABDULKADIR,-4
ABDULKADYR,-1
ABDULKAREEM,-3
ABDULKARIM,-3
ABDULKERIM,-2
ABDULKHALAK,-1
ABDULL,-2
ABDULLA,-10
ABDULLAAH,-2
ABDULLAAHI,-1
ABDULLAH,-12
ABDULLAH ABDELFATAH,-1
ABDULLAH HATAM,-1
ABDULLAHA,-1
ABDULLAHE,-1
ABDULLAHI,-3
ABDULLAI,-1
ABDULLATEEF,-1
ABDULLATIF,-4
ABDULLBASIT,-1
ABDULLHA KHALIL,-1
ABDULLMOEZ,-1
ABDULLO,-1
ABDULLOH,-2
ABDULMAJEED,-3
ABDULMAJID,-3
ABDULMALEK,-3
ABDULMALIK,-5
ABDULMEDJIT,-1
ABDULMELIK,-1
ABDULMOAEEZ,-1
ABDULMOAMEN,-1
ABDULMOHSEN,-1
ABDULMOHYMEN,-1
ABDULMOIZ,-1
ABDULMOUEAN,-1
ABDULMUHAIMIN,-1
ABDULNASIR,-1
ABDULNASSER,-1
ABDULQADIR,-3
ABDULQAIOOM,-1
ABDULQUDUS,-1
ABDULRAFAY,-1
ABDULRAHEEM,-3
ABDULRAHIM,-3
ABDULRAHMAN,-5
ABDULRAHMAN MOHAMMED,-1
ABDULRAHMEN,-1
ABDULRAHMMAN,-1
ABDULRASHID,-1
ABDULRAZAK,-1
ABDULRAZZAK,-1
ABDULREHMAN,-3
ABDULRHAMAN,-1
ABDULRHMAN,-3
ABDULRUHMAN,-1
ABDULSAJAD,-1
ABDULSALAM,-3
ABDULSAMAD,-2
ABDULSAMET,-2
ABDULWADOOD,-1
ABDULWADUD,-1
ABDULWAHAB,-3
ABDULWAHHAB,-1
ABDULWAHID,-3
ABDULWELI,-1
ABDUMALIK,-1
ABDUR,-3
ABDUR RAAFAY,-1
ABDUR RAFAY,-1
ABDUR RAFEH,-1
ABDUR RAHEEM,-1
ABDUR RAHIM,-2
ABDUR RAHMAAN,-1
ABDUR RAHMAN,-3
ABDUR RASHEED,-1
ABDUR REHMAN,-2
ABDURAHEEM,-1
ABDURAHIM,-2
ABDURAHMAN,-7
ABDURAZAK,-1
ABDURHMAN,-1
ABDURRAFAY,-1
ABDURRAHEEM,-2
ABDURRAHIM,-4
ABDURRAHMAAN,-2
ABDURRAHMAN,-6
ABDURREHMAN,-3
ABDURRHMAN,-1
ABDUS,-2
ABDUS SALAM,-1
ABDUS SAMAD,-1
ABDUS SAMI,-1
ABDUSAED,-1
ABDUSALAM,-2
ABDUSHAKUR,-1
ABDUSSALAM,-1
ABDUSSAMAD,-2
ABDUSSAMET,-1
ABDYL,-2
ABE,-4
ABE ABRAHAM,-1
ABEAL,-1
ABEAM,1
ABEAR,1
ABEBA,1
ABEBAYE,1
ABED,-5
ABED ALROHMAN,-1
ABEDA,2
ABEDALLAH,-1
ABEDALRAHMAN,-1
ABEDIN,-4
ABEDNEGO,-1
ABEDRAOUF,-1
ABEED,-2
ABEEDA,1
ABEEHA,3
ABEEL,-1
ABEENG,-1
ABEER,0
ABEERA,3
ABEERAH,2
ABEG,1
ABEGAEL,1
ABEGAIL,2
ABEGALE,2
ABEGAYLE,2
ABEGHONI,-1
ABEGWEIT,1
ABEIL,-1
ABEIR,1
ABEL,-12
ABEL BEFEKADU,-1
ABELA,2
ABELARDO,-5
ABELE,-2
ABELIA,2
ABELIE,1
ABELINA,1
ABELINE,1
ABELINO,-1
ABELIO,-1
ABELIUS,-1
ABELL,-2
ABELLA,3
ABELLALYN,1
ABELLE,1
ABELYNNE,1
ABEM,0
ABEMAEL,1
ABEN,-1
ABENA,3
ABENAA,1
ABENEZER,-3
ABENI,3
ABER,0
ABERDEEN,2
ABERE,1
ABERHAM,-1
ABERLIE,1
ABERNATHY,1
ABERT,-1
ABERY,1
ABETHOU,1
ABEY,-2
ABGAIL,1
ABHA,3
ABHAN,-1
ABHAV,-1
ABHAY,-4
ABHAYA,-1
ABHAYDEEP,-1
ABHAYJEET,-1
ABHAYJOT,-1
ABHAYKARAN,-1
ABHAYKUMAR NARAYANRAO,-1
ABHAYPARTAP,-1
ABHAYVEER,-1
ABHEEK,-1
ABHEMAN,-1
ABHERI,1
ABHI,-3
ABHIA,2
ABHIDEEP,-1
ABHIGNA,1
ABHIJAY,-3
ABHIJEET,-3
ABHIJIT,-3
ABHIJITH,-1
ABHIJITPAL,-1
ABHIJOT,-3
ABHIJYOT,1
ABHIK,-1
ABHIKARAN,-1
ABHILASH,-1
ABHILASHA,1
ABHIMAAN,-1
ABHIMANYU,-3
ABHIMEET,-1
ABHINANDAN,-1
ABHINASH,-1
ABHINAV,-4
ABHINAY,-1
ABHINAYA,1
ABHINESH,-1
ABHINIT,-1
ABHINOOR,1
ABHIPSA,1
ABHIR,-1
ABHIRAAJ,-1
ABHIRAAM,-1
ABHIRAJ,-3
ABHIRAM,-2
ABHIRAMI,1
ABHIROOP,-1
ABHIRUP,-1
ABHISEK,-1
ABHISHAIK,-1
ABHISHEK,-3
ABHISHKA,-1
ABHITAJ,-1
ABHITHA,1
ABHITHI,1
ABHNEEK,-1
ABHYUDAY,-1
ABI,1
ABI JO,1
ABI LEIGH,1
ABI LOUISE,1
ABI MAE,1
ABI ROSE,1
ABI TAYLOR,1
ABIA,3
ABIAGAEL,2
ABIAGEAL,2
ABIAH,2
ABIAM,-1
ABIAN,-1
ABIANA,1
ABIANE,1
ABIANNA,1
ABIAR,1
ABIBAIL,1
ABIBAT,1
ABIBATU,1
ABID,-5
ABID ALI,-1
ABIDA,5
ABIDAH,2
ABIDAILLE,1
ABIDALE,1
ABIDAN,-2
ABIDEEN,-1
ABIDELLEHEDI,-1
ABIDEMI,1
ABIDIN,-1
ABIDUL,-1
ABIDUR,-1
ABIE,-3
ABIEGAIL,1
